model,label,group,n,accuracy,macro_f1,ece,brier_score,latency_p50,latency_p95,tokens_per_sec,peak_mb,strict_parse_error_rate,parse_error_rate,errors
B0,"B0
Embedding",Embedding,500,0.63,0.6117619410802235,0.17386816406249994,0.25447009176015856,19.9785620206967,22.553741931915283,0.0,675.66015625,0.0,0.0,185
B2,"B2
MLP scorer",Embedding + MLP,500,0.582,0.5737919487919487,0.10370652959085386,0.19008772102578853,19.981308025307953,22.63331098947674,0.0,675.66015625,0.0,0.0,209
B3,"B3
Cross-encoder",Cross-encoder,500,0.974,0.97572083364812,0.3145837780140233,0.12402880821537222,22.96699909493327,25.954966084100306,0.0,2207.06689453125,0.0,0.0,13
H1_local_hybrid,"H1
local hybrid",Hybrid,500,0.976,0.9776010467362903,0.3013859678844903,0.11688909382196863,22.946856915950775,26.77719492930919,87.13149486229426,2207.06689453125,0.0,0.0,12
G5_Qwen0p5_G1,"G5 0.5B
SFT",Compressed LM,500,0.966,0.9679363257073235,0.03400000000000003,0.034,302.3368699941784,313.0276820156723,86.40495281780831,986.71630859375,0.0,0.0,17
G5_Qwen1p5_G1,"G5 1.5B
SFT",Compressed LM,500,0.976,0.978317400799703,0.02400000000000002,0.024,341.01873997133225,1411.8009359808639,43.916436551230724,3000.64208984375,0.08,0.0,12
G4_Qwen_4bit,"G4 3B
4-bit",Quantized LM,500,0.974,0.978350899863116,0.20518000000000436,0.2006446,1845.7689540227875,1919.1326699219644,29.069498717031866,2288.7861328125,0.53,0.0,13
G3_Qwen,"G3 3B
KD/SFT",3B LM,500,0.992,0.9924094465940536,0.030460000000001833,0.0231758,2524.802949046716,2626.9444540375844,25.23083965382364,5950.2568359375,0.876,0.0,4
